log_name,drift_or_noise_id,drift_attribute,drift_sub_attribute,value
log_1_1687181916.xes,drift_1,change_info_2,process_tree_before,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), 'i' ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_2,process_tree_after,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), *tau* ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_2,activities_deleted,[i]
log_1_1687181916.xes,drift_1,change_info_2,activities_added,[]
log_1_1687181916.xes,drift_1,change_info_2,activities_moved,[]
log_1_1687181916.xes,drift_1,change_info_2,change_start,01:40.5
log_1_1687181916.xes,drift_1,change_info_2,change_end,01:40.5
log_1_1687181916.xes,drift_1,change_info_3,change_type,sudden
log_1_1687181916.xes,drift_1,change_info_3,change_trace_index,[3613]
log_1_1687181916.xes,drift_1,change_info_3,process_tree_before,"->( ->( +( 'a', 'm' ), ->( *( 'c', 'h' ), *tau* ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_3,process_tree_after,"->( ->( +( *tau*, 'm' ), ->( *( 'c', 'h' ), *tau* ) ), ->( ->( *( 'b', +( 'f', 'n' ) ), 'g' ), +( ->( 'd', 'j' ), ->( *( 'e', ->( 'k', 'o', 'Random activity 1' ) ), 'l' ) ) ) )"
log_1_1687181916.xes,drift_1,change_info_3,activities_deleted,[a]
log_1_1687181916.xes,drift_1,change_info_3,activities_added,[]
log_1_1687181916.xes,drift_1,change_info_3,activities_moved,[]
log_1_1687181916.xes,drift_1,change_info_3,change_start,28:44.5
log_1_1687181916.xes,drift_1,change_info_3,change_end,28:44.5
log_2_1687181920.xes,drift_1,log_id,1,log_2_1687181920.xes
log_2_1687181920.xes,drift_1,drift_id,1,1
log_2_1687181920.xes,drift_1,process_perspective,1,control-flow
log_2_1687181920.xes,drift_1,drift_type,1,sudden
log_2_1687181920.xes,drift_1,process_trees_1,0,"->( +( 'a', +( 'c', 'e' ) ), ->( 'b', ->( 'd', 'f' ) ) )"
log_2_1687181920.xes,drift_1,process_trees_2,1,"->( +( 'a', +( 'c', 'e', 'Random activity 1' ) ), ->( 'b', ->( 'd', 'f' ) ) )"
log_2_1687181920.xes,drift_1,change_info_1,change_type,sudden
log_2_1687181920.xes,drift_1,change_info_1,change_trace_index,[1011]
log_2_1687181920.xes,drift_1,change_info_1,process_tree_before,"->( +( 'a', +( 'c', 'e' ) ), ->( 'b', ->( 'd', 'f' ) ) )"
log_2_1687181920.xes,drift_1,change_info_1,process_tree_after,"->( +( 'a', +( 'c', 'e', 'Random activity 1' ) ), ->( 'b', ->( 'd', 'f' ) ) )"
log_2_1687181920.xes,drift_1,change_info_1,activities_deleted,[]
log_2_1687181920.xes,drift_1,change_info_1,activities_added,[Random activity 1]
log_2_1687181920.xes,drift_1,change_info_1,activities_moved,[]
log_2_1687181920.xes,drift_1,change_info_1,change_start,14:56.6
log_2_1687181920.xes,drift_1,change_info_1,change_end,14:56.6
log_3_1687181920.xes,drift_1,log_id,1,log_3_1687181920.xes
log_3_1687181920.xes,drift_1,drift_id,1,1
log_3_1687181920.xes,drift_1,process_perspective,1,control-flow
log_3_1687181920.xes,drift_1,drift_type,1,gradual
log_3_1687181920.xes,drift_1,process_trees_1,0,"->( X( 'a', ->( *( ->( +( 'd', 'p' ), 'h' ), ->( 'e', ->( *( X( 'g', 'k' ), 'i' ), ->( *( 'j', 'n' ), 'o' ) ) ) ), 'f' ) ), X( ->( *( 'b', 'l' ), 'm' ), 'c' ) )"
log_3_1687181920.xes,drift_1,process_trees_2,1,"->( X( 'a', ->( *( ->( X( 'd', 'p' ), 'h' ), ->( 'e', ->( *( X( 'Random activity 1', 'k', 'Random activity 2' ), 'i' ), ->( *( 'j', 'n' ), 'o' ) ) ) ), 'f' ) ), X( ->( *( 'b', 'l' ), 'm' ), 'c' ) )"
log_3_1687181920.xes,drift_1,change_info_1,change_type,gradual
log_3_1687181920.xes,drift_1,change_info_1,change_trace_index,"[1041, 1298]"
log_3_1687181920.xes,drift_1,change_info_1,process_tree_before,"->( X( 'a', ->( *( ->( +( 'd', 'p' ), 'h' ), ->( 'e', ->( *( X( 'g', 'k' ), 'i' ), ->( *( 'j', 'n' ), 'o' ) ) ) ), 'f' ) ), X( ->( *( 'b', 'l' ), 'm' ), 'c' ) )"
log_3_1687181920.xes,drift_1,change_info_1,process_tree_after,"->( X( 'a', ->( *( ->( X( 'd', 'p' ), 'h' ), ->( 'e', ->( *( X( 'Random activity 1', 'k', 'Random activity 2' ), 'i' ), ->( *( 'j', 'n' ), 'o' ) ) ) ), 'f' ) ), X( ->( *( 'b', 'l' ), 'm' ), 'c' ) )"
log_3_1687181920.xes,drift_1,change_info_1,activities_deleted,[g]
log_3_1687181920.xes,drift_1,change_info_1,activities_added,"[Random activity 1, Random activity 2]"
log_3_1687181920.xes,drift_1,change_info_1,activities_moved,"[d, p]"
log_3_1687181920.xes,drift_1,change_info_1,change_start,46:50.6
log_3_1687181920.xes,drift_1,change_info_1,change_end,15:07.9
log_4_1687181921.xes,drift_1,log_id,1,log_4_1687181921.xes
log_4_1687181921.xes,drift_1,drift_id,1,1
log_4_1687181921.xes,drift_1,process_perspective,1,control-flow
log_4_1687181921.xes,drift_1,drift_type,1,gradual
log_4_1687181921.xes,drift_1,process_trees_1,0,"->( ->( 'a', 'e' ), X( ->( 'b', ->( 'f', 'g' ) ), ->( 'c', 'd' ) ) )"
log_4_1687181921.xes,drift_1,process_trees_2,1,"->( ->( 'a', 'e' ), X( ->( 'b', ->( 'c', 'g' ) ), ->( 'f', 'd' ) ) )"
log_4_1687181921.xes,drift_1,change_info_1,change_type,gradual
log_4_1687181921.xes,drift_1,change_info_1,change_trace_index,"[1313, 1543]"
log_4_1687181921.xes,drift_1,change_info_1,process_tree_before,"->( ->( 'a', 'e' ), X( ->( 'b', ->( 'f', 'g' ) ), ->( 'c', 'd' ) ) )"
log_4_1687181921.xes,drift_1,change_info_1,process_tree_after,"->( ->( 'a', 'e' ), X( ->( 'b', ->( 'c', 'g' ) ), ->( 'f', 'd' ) ) )"
log_4_1687181921.xes,drift_1,change_info_1,activities_deleted,[]
log_4_1687181921.xes,drift_1,change_info_1,activities_added,[]
log_4_1687181921.xes,drift_1,change_info_1,activities_moved,"[c, f]"
log_4_1687181921.xes,drift_1,change_info_1,change_start,04:53.8
log_4_1687181921.xes,drift_1,change_info_1,change_end,09:02.1
log_5_1687181922.xes,drift_1,log_id,1,log_5_1687181922.xes
log_5_1687181922.xes,drift_1,drift_id,1,1
log_5_1687181922.xes,drift_1,process_perspective,1,control-flow
log_5_1687181922.xes,drift_1,drift_type,1,gradual
log_5_1687181922.xes,drift_1,process_trees_1,0,"->( ->( 'a', 'l' ), ->( +( ->( *( 'b', X( 'e', 'h' ) ), X( 'f', X( 'g', 'i' ) ) ), ->( *( +( 'd', 'o' ), X( 'j', 'm' ) ), 'k' ) ), +( 'c', 'n' ) ) )"
log_5_1687181922.xes,drift_1,process_trees_2,1,"->( ->( 'a', 'l' ), ->( +( ->( *( 'b', X( 'e', 'h' ) ), X( *tau*, X( 'g', 'i' ) ) ), ->( *( +( 'd', 'o' ), X( *tau*, 'm' ) ), 'k' ) ), +( *tau*, 'n' ) ) )"
log_5_1687181922.xes,drift_1,change_info_1,change_type,gradual
log_5_1687181922.xes,drift_1,change_info_1,change_trace_index,"[689, 980]"
log_5_1687181922.xes,drift_1,change_info_1,process_tree_before,"->( ->( 'a', 'l' ), ->( +( ->( *( 'b', X( 'e', 'h' ) ), X( 'f', X( 'g', 'i' ) ) ), ->( *( +( 'd', 'o' ), X( 'j', 'm' ) ), 'k' ) ), +( 'c', 'n' ) ) )"
log_5_1687181922.xes,drift_1,change_info_1,process_tree_after,"->( ->( 'a', 'l' ), ->( +( ->( *( 'b', X( 'e', 'h' ) ), X( *tau*, X( 'g', 'i' ) ) ), ->( *( +( 'd', 'o' ), X( *tau*, 'm' ) ), 'k' ) ), +( *tau*, 'n' ) ) )"
log_5_1687181922.xes,drift_1,change_info_1,activities_deleted,"[f, j, c]"
log_5_1687181922.xes,drift_1,change_info_1,activities_added,[]
log_5_1687181922.xes,drift_1,change_info_1,activities_moved,[]
log_5_1687181922.xes,drift_1,change_info_1,change_start,39:12.8
log_5_1687181922.xes,drift_1,change_info_1,change_end,42:56.0
log_6_1687181923.xes,drift_1,log_id,1,log_6_1687181923.xes
log_6_1687181923.xes,drift_1,drift_id,1,1
log_6_1687181923.xes,drift_1,process_perspective,1,control-flow
log_6_1687181923.xes,drift_1,drift_type,1,incremental
log_6_1687181923.xes,drift_1,process_trees_1,0,"->( *( X( X( 'a', X( 'e', 'k' ) ), +( ->( 'd', 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,process_trees_2,1,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( 'd', 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,process_trees_3,2,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( *tau*, 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,process_trees_4,3,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( *tau*, 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h', 'Random activity 1' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_1,change_type,sudden
log_6_1687181923.xes,drift_1,change_info_1,change_trace_index,[923]
log_6_1687181923.xes,drift_1,change_info_1,process_tree_before,"->( *( X( X( 'a', X( 'e', 'k' ) ), +( ->( 'd', 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_1,process_tree_after,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( 'd', 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_1,activities_deleted,[e]
log_6_1687181923.xes,drift_1,change_info_1,activities_added,[]
log_6_1687181923.xes,drift_1,change_info_1,activities_moved,[]
log_6_1687181923.xes,drift_1,change_info_1,change_start,39:05.4
log_6_1687181923.xes,drift_1,change_info_1,change_end,39:05.4
log_6_1687181923.xes,drift_1,change_info_2,change_type,sudden
log_6_1687181923.xes,drift_1,change_info_2,change_trace_index,[1989]
log_6_1687181923.xes,drift_1,change_info_2,process_tree_before,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( 'd', 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_2,process_tree_after,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( *tau*, 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_2,activities_deleted,[d]
log_6_1687181923.xes,drift_1,change_info_2,activities_added,[]
log_6_1687181923.xes,drift_1,change_info_2,activities_moved,[]
log_6_1687181923.xes,drift_1,change_info_2,change_start,16:19.3
log_6_1687181923.xes,drift_1,change_info_2,change_end,16:19.3
log_6_1687181923.xes,drift_1,change_info_3,change_type,sudden
log_6_1687181923.xes,drift_1,change_info_3,change_trace_index,[3141]
log_6_1687181923.xes,drift_1,change_info_3,process_tree_before,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( *tau*, 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_3,process_tree_after,"->( *( X( X( 'a', X( *tau*, 'k' ) ), +( ->( *tau*, 'l' ), 'j' ) ), 'b' ), ->( *( 'c', 'f' ), ->( *( 'g', 'h', 'Random activity 1' ), 'i' ) ) )"
log_6_1687181923.xes,drift_1,change_info_3,activities_deleted,[]
log_6_1687181923.xes,drift_1,change_info_3,activities_added,[Random activity 1]
log_6_1687181923.xes,drift_1,change_info_3,activities_moved,[]
log_6_1687181923.xes,drift_1,change_info_3,change_start,54:15.3
log_6_1687181923.xes,drift_1,change_info_3,change_end,54:15.3
log_7_1687181925.xes,drift_1,log_id,1,log_7_1687181925.xes
log_7_1687181925.xes,drift_1,drift_id,1,1
log_7_1687181925.xes,drift_1,process_perspective,1,control-flow
log_7_1687181925.xes,drift_1,drift_type,1,incremental
log_7_1687181925.xes,drift_1,process_trees_1,0,"->( ->( +( 'a', 'g' ), 'f' ), ->( ->( 'b', 'd' ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,process_trees_2,1,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', 'd' ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,process_trees_3,2,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', *tau* ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,process_trees_4,3,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', *tau* ), ->( 'c', *tau* ) ) )"
log_7_1687181925.xes,drift_1,change_info_1,change_type,sudden
log_7_1687181925.xes,drift_1,change_info_1,change_trace_index,[920]
log_7_1687181925.xes,drift_1,change_info_1,process_tree_before,"->( ->( +( 'a', 'g' ), 'f' ), ->( ->( 'b', 'd' ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,change_info_1,process_tree_after,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', 'd' ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,change_info_1,activities_deleted,[g]
log_7_1687181925.xes,drift_1,change_info_1,activities_added,[]
log_7_1687181925.xes,drift_1,change_info_1,activities_moved,[]
log_7_1687181925.xes,drift_1,change_info_1,change_start,53:27.2
log_7_1687181925.xes,drift_1,change_info_1,change_end,53:27.2
log_7_1687181925.xes,drift_1,change_info_2,change_type,gradual
log_7_1687181925.xes,drift_1,change_info_2,change_trace_index,"[1720, 2103]"
log_7_1687181925.xes,drift_1,change_info_2,process_tree_before,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', 'd' ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,change_info_2,process_tree_after,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', *tau* ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,change_info_2,activities_deleted,[d]
log_7_1687181925.xes,drift_1,change_info_2,activities_added,[]
log_7_1687181925.xes,drift_1,change_info_2,activities_moved,[]
log_7_1687181925.xes,drift_1,change_info_2,change_start,50:39.3
log_7_1687181925.xes,drift_1,change_info_2,change_end,42:05.9
log_7_1687181925.xes,drift_1,change_info_3,change_type,gradual
log_7_1687181925.xes,drift_1,change_info_3,change_trace_index,"[3052, 3413]"
log_7_1687181925.xes,drift_1,change_info_3,process_tree_before,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', *tau* ), ->( 'c', 'e' ) ) )"
log_7_1687181925.xes,drift_1,change_info_3,process_tree_after,"->( ->( +( 'a', *tau* ), 'f' ), ->( ->( 'b', *tau* ), ->( 'c', *tau* ) ) )"
log_7_1687181925.xes,drift_1,change_info_3,activities_deleted,[e]
log_7_1687181925.xes,drift_1,change_info_3,activities_added,[]
log_7_1687181925.xes,drift_1,change_info_3,activities_moved,[]
log_7_1687181925.xes,drift_1,change_info_3,change_start,57:16.1
log_7_1687181925.xes,drift_1,change_info_3,change_end,56:11.0
log_8_1687181927.xes,drift_1,log_id,1,log_8_1687181927.xes
log_8_1687181927.xes,drift_1,drift_id,1,1
log_8_1687181927.xes,drift_1,process_perspective,1,control-flow
log_8_1687181927.xes,drift_1,drift_type,1,gradual
log_8_1687181927.xes,drift_1,process_trees_1,0,"->( *( 'a', X( ->( *( X( 'b', 'k' ), 'g' ), 'h' ), ->( +( 'd', ->( *( 'j', X( 'l', ->( *( 'n', 'o' ), 'p' ) ) ), 'm' ) ), 'i' ) ) ), ->( *( 'c', 'e' ), 'f' ) )"
log_8_1687181927.xes,drift_1,process_trees_2,1,"->( *( 'a', X( ->( *( X( 'b', 'k' ), 'g' ), 'h' ), ->( +( 'd', ->( *( 'j', X( 'l', ->( *( 'n', 'o' ), 'p' ) ), 'Random activity 1' ), *tau* ) ), 'i' ) ) ), ->( *( 'c', 'e' ), 'f' ) )"
log_8_1687181927.xes,drift_1,change_info_1,change_type,gradual
log_8_1687181927.xes,drift_1,change_info_1,change_trace_index,"[778, 1133]"
log_8_1687181927.xes,drift_1,change_info_1,process_tree_before,"->( *( 'a', X( ->( *( X( 'b', 'k' ), 'g' ), 'h' ), ->( +( 'd', ->( *( 'j', X( 'l', ->( *( 'n', 'o' ), 'p' ) ) ), 'm' ) ), 'i' ) ) ), ->( *( 'c', 'e' ), 'f' ) )"
log_8_1687181927.xes,drift_1,change_info_1,process_tree_after,"->( *( 'a', X( ->( *( X( 'b', 'k' ), 'g' ), 'h' ), ->( +( 'd', ->( *( 'j', X( 'l', ->( *( 'n', 'o' ), 'p' ) ), 'Random activity 1' ), *tau* ) ), 'i' ) ) ), ->( *( 'c', 'e' ), 'f' ) )"
log_8_1687181927.xes,drift_1,change_info_1,activities_deleted,[m]
log_8_1687181927.xes,drift_1,change_info_1,activities_added,[Random activity 1]
log_8_1687181927.xes,drift_1,change_info_1,activities_moved,[]
log_8_1687181927.xes,drift_1,change_info_1,change_start,10:40.9
log_8_1687181927.xes,drift_1,change_info_1,change_end,49:45.8
log_9_1687181928.xes,drift_1,log_id,1,log_9_1687181928.xes
log_9_1687181928.xes,drift_1,drift_id,1,1
log_9_1687181928.xes,drift_1,process_perspective,1,control-flow
log_9_1687181928.xes,drift_1,drift_type,1,incremental
log_9_1687181928.xes,drift_1,process_trees_1,0,"->( +( 'a', ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,process_trees_2,1,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,process_trees_3,2,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e', 'Random activity 1' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,process_trees_4,3,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( *tau*, 'g' ), 'e', 'Random activity 1' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_1,change_type,sudden
log_9_1687181928.xes,drift_1,change_info_1,change_trace_index,[1135]
log_9_1687181928.xes,drift_1,change_info_1,process_tree_before,"->( +( 'a', ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_1,process_tree_after,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_1,activities_deleted,[a]
log_9_1687181928.xes,drift_1,change_info_1,activities_added,[]
log_9_1687181928.xes,drift_1,change_info_1,activities_moved,[]
log_9_1687181928.xes,drift_1,change_info_1,change_start,12:40.7
log_9_1687181928.xes,drift_1,change_info_1,change_end,12:40.7
log_9_1687181928.xes,drift_1,change_info_2,change_type,sudden
log_9_1687181928.xes,drift_1,change_info_2,change_trace_index,[1916]
log_9_1687181928.xes,drift_1,change_info_2,process_tree_before,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_2,process_tree_after,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e', 'Random activity 1' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_2,activities_deleted,[]
log_9_1687181928.xes,drift_1,change_info_2,activities_added,[Random activity 1]
log_9_1687181928.xes,drift_1,change_info_2,activities_moved,[]
log_9_1687181928.xes,drift_1,change_info_2,change_start,18:19.8
log_9_1687181928.xes,drift_1,change_info_2,change_end,18:19.8
log_9_1687181928.xes,drift_1,change_info_3,change_type,gradual
log_9_1687181928.xes,drift_1,change_info_3,change_trace_index,"[2696, 2989]"
log_9_1687181928.xes,drift_1,change_info_3,process_tree_before,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( 'd', 'g' ), 'e', 'Random activity 1' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_3,process_tree_after,"->( +( *tau*, ->( ->( 'c', 'f' ), ->( ->( *tau*, 'g' ), 'e', 'Random activity 1' ) ) ), 'b' )"
log_9_1687181928.xes,drift_1,change_info_3,activities_deleted,[d]
log_9_1687181928.xes,drift_1,change_info_3,activities_added,[]
log_9_1687181928.xes,drift_1,change_info_3,activities_moved,[]
log_9_1687181928.xes,drift_1,change_info_3,change_start,12:09.4
log_9_1687181928.xes,drift_1,change_info_3,change_end,13:53.7
log_10_1687181929.xes,drift_1,log_id,1,log_10_1687181929.xes
log_10_1687181929.xes,drift_1,drift_id,1,1
log_10_1687181929.xes,drift_1,process_perspective,1,control-flow
log_10_1687181929.xes,drift_1,drift_type,1,gradual
log_10_1687181929.xes,drift_1,process_trees_1,0,"+( +( 'a', ->( *( 'd', ->( *( 'g', 'l' ), 'm' ) ), 'h' ) ), +( 'b', ->( *( 'c', ->( *( ->( *( 'e', 'n' ), 'o' ), 'i' ), 'j' ) ), X( 'f', 'k' ) ) ) )"
log_10_1687181929.xes,drift_1,process_trees_2,1,"+( +( 'a', ->( *( 'd', 'f' ), 'h' ) ), +( 'b', ->( *( 'c', ->( *( ->( *( 'e', 'n' ), 'o' ), 'i' ), 'j' ) ), X( ->( *( 'g', 'l' ), 'm' ), 'k' ) ) ) )"
log_10_1687181929.xes,drift_1,change_info_1,change_type,gradual
log_10_1687181929.xes,drift_1,change_info_1,change_trace_index,"[1446, 1821]"
log_10_1687181929.xes,drift_1,change_info_1,process_tree_before,"+( +( 'a', ->( *( 'd', ->( *( 'g', 'l' ), 'm' ) ), 'h' ) ), +( 'b', ->( *( 'c', ->( *( ->( *( 'e', 'n' ), 'o' ), 'i' ), 'j' ) ), X( 'f', 'k' ) ) ) )"
log_10_1687181929.xes,drift_1,change_info_1,process_tree_after,"+( +( 'a', ->( *( 'd', 'f' ), 'h' ) ), +( 'b', ->( *( 'c', ->( *( ->( *( 'e', 'n' ), 'o' ), 'i' ), 'j' ) ), X( ->( *( 'g', 'l' ), 'm' ), 'k' ) ) ) )"
log_10_1687181929.xes,drift_1,change_info_1,activities_deleted,[]
log_10_1687181929.xes,drift_1,change_info_1,activities_added,[]
log_10_1687181929.xes,drift_1,change_info_1,activities_moved,"[f, m, g, l]"
log_10_1687181929.xes,drift_1,change_info_1,change_start,02:26.6
log_10_1687181929.xes,drift_1,change_info_1,change_end,06:38.4
log_11_1687181931.xes,drift_1,log_id,1,log_11_1687181931.xes
log_11_1687181931.xes,drift_1,drift_id,1,1
log_11_1687181931.xes,drift_1,process_perspective,1,control-flow
log_11_1687181931.xes,drift_1,drift_type,1,sudden
log_11_1687181931.xes,drift_1,process_trees_1,0,"->( ->( 'a', ->( 'd', 'f' ) ), ->( ->( 'b', 'e' ), 'c' ) )"
log_11_1687181931.xes,drift_1,process_trees_2,1,"->( ->( 'a', ->( 'd', 'Random activity 1' ) ), ->( ->( 'b', 'e' ), 'c' ) )"
log_11_1687181931.xes,drift_1,change_info_1,change_type,sudden
log_11_1687181931.xes,drift_1,change_info_1,change_trace_index,[1012]
log_11_1687181931.xes,drift_1,change_info_1,process_tree_before,"->( ->( 'a', ->( 'd', 'f' ) ), ->( ->( 'b', 'e' ), 'c' ) )"
log_11_1687181931.xes,drift_1,change_info_1,process_tree_after,"->( ->( 'a', ->( 'd', 'Random activity 1' ) ), ->( ->( 'b', 'e' ), 'c' ) )"
log_11_1687181931.xes,drift_1,change_info_1,activities_deleted,[f]
log_11_1687181931.xes,drift_1,change_info_1,activities_added,[Random activity 1]
log_11_1687181931.xes,drift_1,change_info_1,activities_moved,[]
